person_id,age,wait_time_minutes,case_duration_days,charge_level,detained
P001,42,16.5,62.4,Misdemeanor,No
P002,26,12.1,54.5,Felony,No
P003,25,55.1,52.3,Misdemeanor,No
P004,39,26.1,9.8,Misdemeanor,No
P005,24,17.4,17.2,Felony,Yes
P006,44,6.4,54.1,Misdemeanor,Yes
P007,38,18.2,25.4,Felony,No
P008,31,15.1,54.9,Misdemeanor,Yes
P009,31,8.9,35.2,Felony,Yes
P010,49,30.3,45.0,Misdemeanor,No
P011,28,20.8,43.3,Misdemeanor,No
P012,43,3.3,84.6,Felony,No
P013,35,12.2,99.2,Felony,Yes
P014,34,4.7,21.4,Felony,Yes
P015,49,19.4,48.7,Misdemeanor,No
P016,45,22.5,52.6,Felony,No
P017,30,16.2,23.1,Misdemeanor,Yes
P018,62,43.7,65.4,Misdemeanor,No
P019,18,15.2,94.9,Misdemeanor,Yes
P020,29,37.2,54.2,Felony,Yes
P021,45,4.7,112.3,Misdemeanor,No
P022,31,10.4,29.1,Misdemeanor,No
P023,38,20.5,70.0,Misdemeanor,No
P024,20,12.3,25.8,Misdemeanor,Yes
P025,37,34.2,73.4,Felony,No
P026,35,19.9,4.8,Misdemeanor,No
P027,25,11.1,42.0,Felony,No
P028,33,3.1,39.0,Misdemeanor,No
P029,55,12.0,54.7,Felony,No
P030,41,26.8,44.9,Misdemeanor,Yes
P031,36,18.8,18.5,Felony,Yes
P032,33,39.0,54.7,Misdemeanor,Yes
P033,39,35.0,8.6,Misdemeanor,No
P034,18,37.9,14.9,Misdemeanor,No
P035,28,11.6,30.4,Misdemeanor,No
P036,32,13.1,61.1,Misdemeanor,No
P037,28,8.6,8.4,Misdemeanor,No
P038,18,24.8,73.4,Misdemeanor,No
P039,43,8.4,55.8,Felony,No
P040,18,33.2,21.3,Felony,No
P041,46,16.7,63.5,Misdemeanor,No
P042,51,31.2,31.3,Misdemeanor,Yes
P043,40,9.7,44.5,Misdemeanor,No
P044,42,14.8,8.1,Misdemeanor,Yes
P045,18,16.6,61.8,Misdemeanor,No
P046,24,18.1,119.7,Misdemeanor,No
P047,33,10.0,93.9,Misdemeanor,Yes
P048,26,5.2,75.4,Felony,Yes
P049,35,3.0,56.7,Misdemeanor,No
P050,18,31.4,24.1,Misdemeanor,No
P051,33,23.4,21.8,Misdemeanor,No
P052,25,22.9,32.5,Felony,No
