Year,Year_no,Date,Winner,Mins,Secs,Time.in.Sec,Distance (mi),Speed (mph)
1875,1,"May 17, 1875",Aristides,2,37.75,157.75,1.5,34.2314
1876,2,"May 15, 1876",Vagrant,2,38.25,158.25,1.5,34.1232
1877,3,"May 22, 1877",Baden-Baden,2,38,158,1.5,34.1772
1878,4,"May 21, 1878",Day Star,2,37.25,157.25,1.5,34.3402
1879,5,"May 20, 1879",Lord Murphy,2,37,157,1.5,34.3949
1880,6,"May 18, 1880",Fonso,2,37.5,157.5,1.5,34.2857
1881,7,"May 17, 1881",Hindoo,2,40,160,1.5,33.75
1882,8,"May 16, 1882",Apollo,2,40.25,160.25,1.5,33.6973
1883,9,"May 23, 1883",Leonatus,2,43,163,1.5,33.1288
1884,10,"May 16, 1884",Buchanan,2,40.25,160.25,1.5,33.6973
1885,11,"May 14, 1885",Joe Cotton,2,37.25,157.25,1.5,34.3402
1886,12,"May 14, 1886",Ben Ali,2,36.5,156.5,1.5,34.5048
1887,13,"May 11, 1887",Montrose,2,39.25,159.25,1.5,33.9089
1888,14,"May 14, 1888",Macbeth II,2,38.25,158.25,1.5,34.1232
1889,15,"May 9, 1889",Spokane,2,34.5,154.5,1.5,34.9515
1890,16,"May 14, 1890",Riley,2,45,165,1.5,32.7273
1891,17,"May 13, 1891",Kingman,2,52.25,172.25,1.5,31.3498
1892,18,"May 11, 1892",Azra,2,41.5,161.5,1.5,33.4365
1893,19,"May 10, 1893",Lookout,2,39.25,159.25,1.5,33.9089
1894,20,"May 15, 1894",Chant,2,41,161,1.5,33.5404
1895,21,"May 6, 1895",Halma,2,37.5,157.5,1.5,34.2857
1896,22,"May 6, 1896",Ben Brush,2,7.75,127.75,1.25,35.225
1897,23,"May 12, 1897",Typhoon II,2,12.5,132.5,1.25,33.9623
1898,24,"May 4, 1898",Plaudit,2,9,129,1.25,34.8837
1899,25,"May 4, 1899",Manuel,2,12,132,1.25,34.0909
1900,26,3-May-00,Lieut. Gibson,2,6.25,126.25,1.25,35.6436
1901,27,29-Apr-01,His Eminence,2,7.75,127.75,1.25,35.225
1902,28,3-May-02,Alan-a-Dale,2,8.75,128.75,1.25,34.9515
1903,29,2-May-03,Judge Himes,2,9,129,1.25,34.8837
1904,30,2-May-04,Elwood,2,8.5,128.5,1.25,35.0195
1905,31,10-May-05,Agile,2,10.75,130.75,1.25,34.4168
1906,32,2-May-06,Sir Huon,2,8.8,128.8,1.25,34.9379
1907,33,6-May-07,Pink Star,2,12.6,132.6,1.25,33.9367
1908,34,5-May-08,Stone Street,2,15.2,135.2,1.25,33.284
1909,35,3-May-09,Wintergreen,2,8.2,128.2,1.25,35.1014
1910,36,10-May-10,Donau,2,6.4,126.4,1.25,35.6013
1911,37,13-May-11,Meridian,2,5,125,1.25,36
1912,38,11-May-12,Worth,2,9.4,129.4,1.25,34.7759
1913,39,10-May-13,Donerail,2,4.8,124.8,1.25,36.0577
1914,40,9-May-14,Old Rosebud,2,3.4,123.4,1.25,36.4668
1915,41,8-May-15,Regret,2,5.4,125.4,1.25,35.8852
1916,42,13-May-16,George Smith,2,4,124,1.25,36.2903
1917,43,12-May-17,*Omar Khayyam,2,4.6,124.6,1.25,36.1156
1918,44,11-May-18,Exterminator,2,10.8,130.8,1.25,34.4037
1919,45,10-May-19,Sir Barton,2,9.8,129.8,1.25,34.6687
1920,46,8-May-20,Paul Jones,2,9,129,1.25,34.8837
1921,47,7-May-21,Behave Yourself,2,4.2,124.2,1.25,36.2319
1922,48,13-May-22,Morvich,2,4.6,124.6,1.25,36.1156
1923,49,19-May-23,Zev,2,5.4,125.4,1.25,35.8852
1924,50,17-May-24,Black Gold,2,5.2,125.2,1.25,35.9425
1925,51,16-May-25,Flying Ebony,2,7.6,127.6,1.25,35.2665
1926,52,15-May-26,Bubbling Over,2,3.8,123.8,1.25,36.3489
1927,53,14-May-27,Whiskery,2,6,126,1.25,35.7143
1928,54,19-May-28,Reigh Count,2,10.4,130.4,1.25,34.5092
1929,55,18-May-29,Clyde Van Dusen,2,10.8,130.8,1.25,34.4037
1930,56,17-May-30,Gallant Fox,2,7.6,127.6,1.25,35.2665
1931,57,16-May-31,Twenty Grand,2,1.8,121.8,1.25,36.9458
1932,58,7-May-32,Burgoo King,2,5.2,125.2,1.25,35.9425
1933,59,6-May-33,Brokers Tip,2,6.8,126.8,1.25,35.489
1934,60,5-May-34,Cavalcade,2,4,124,1.25,36.2903
1935,61,4-May-35,Omaha,2,5,125,1.25,36
1936,62,2-May-36,Bold Venture,2,3.6,123.6,1.25,36.4078
1937,63,8-May-37,War Admiral,2,3.2,123.2,1.25,36.526
1938,64,7-May-38,Lawrin,2,4.8,124.8,1.25,36.0577
1939,65,6-May-39,Johnstown,2,3.4,123.4,1.25,36.4668
1940,66,4-May-40,Gallahadion,2,5,125,1.25,36
1941,67,3-May-41,Whirlaway,2,1.4,121.4,1.25,37.0675
1942,68,2-May-42,Shut Out,2,4.4,124.4,1.25,36.1736
1943,69,1-May-43,Count Fleet,2,4,124,1.25,36.2903
1944,70,6-May-44,Pensive,2,4.2,124.2,1.25,36.2319
1945,71,9-Jun-45,Hoop Jr.,2,7,127,1.25,35.4331
1946,72,4-May-46,Assault,2,6.6,126.6,1.25,35.545
1947,73,3-May-47,Jet Pilot,2,6.8,126.8,1.25,35.489
1948,74,1-May-48,Citation,2,5.4,125.4,1.25,35.8852
1949,75,7-May-49,Ponder,2,4.2,124.2,1.25,36.2319
1950,76,6-May-50,Middleground,2,1.6,121.6,1.25,37.0066
1951,77,5-May-51,Count Turf,2,2.6,122.6,1.25,36.7047
1952,78,3-May-52,Hill Gail,2,1.6,121.6,1.25,37.0066
1953,79,2-May-53,Dark Star,2,2,122,1.25,36.8852
1954,80,1-May-54,Determine,2,3,123,1.25,36.5854
1955,81,7-May-55,Swaps,2,1.8,121.8,1.25,36.9458
1956,82,5-May-56,Needles,2,3.4,123.4,1.25,36.4668
1957,83,4-May-57,Iron Liege,2,2.2,122.2,1.25,36.8249
1958,84,3-May-58,Tim Tam,2,5,125,1.25,36
1959,85,2-May-59,*Tomy Lee,2,2.2,122.2,1.25,36.8249
1960,86,7-May-60,Venetian Way,2,2.4,122.4,1.25,36.7647
1961,87,6-May-61,Carry Back,2,4,124,1.25,36.2903
1962,88,5-May-62,Decidedly,2,0.4,120.4,1.25,37.3754
1963,89,4-May-63,Chateaugay,2,1.8,121.8,1.25,36.9458
1964,90,2-May-64,Northern Dancer,2,0,120,1.25,37.5
1965,91,1-May-65,Lucky Debonair,2,1.2,121.2,1.25,37.1287
1966,92,7-May-66,Kauai King,2,2,122,1.25,36.8852
1967,93,6-May-67,Proud Clarion,2,0.6,120.6,1.25,37.3134
1968,94,4-May-68,Forward Pass**,2,2.2,122.2,1.25,36.8249
1969,95,3-May-69,Majestic Prince,2,1.8,121.8,1.25,36.9458
1970,96,2-May-70,Dust Commander,2,3.4,123.4,1.25,36.4668
1971,97,1-May-71,Canonero II,2,3.2,123.2,1.25,36.526
1972,98,6-May-72,Riva Ridge,2,1.8,121.8,1.25,36.9458
1973,99,5-May-73,Secretariat,1,59.4,119.4,1.25,37.6884
1974,100,4-May-74,Cannonade,2,4,124,1.25,36.2903
1975,101,3-May-75,Foolish Pleasure,2,2,122,1.25,36.8852
1976,102,1-May-76,Bold Forbes,2,1.6,121.6,1.25,37.0066
1977,103,7-May-77,Seattle Slew,2,2.2,122.2,1.25,36.8249
1978,104,6-May-78,Affirmed,2,1.2,121.2,1.25,37.1287
1979,105,5-May-79,Spectacular Bid,2,2.2,122.2,1.25,36.8249
1980,106,3-May-80,Genuine Risk,2,2,122,1.25,36.8852
1981,107,2-May-81,Pleasant Colony,2,2,122,1.25,36.8852
1982,108,1-May-82,Gato Del Sol,2,2.4,122.4,1.25,36.7647
1983,109,7-May-83,SunnyÕs Halo,2,2.2,122.2,1.25,36.8249
1984,110,5-May-84,Swale,2,2.4,122.4,1.25,36.7647
1985,111,4-May-85,Spend a Buck,2,0.2,120.2,1.25,37.4376
1986,112,3-May-86,Ferdinand,2,2.8,122.8,1.25,36.645
1987,113,2-May-87,Alysheba,2,3.4,123.4,1.25,36.4668
1988,114,7-May-88,Winning Colors,2,2.2,122.2,1.25,36.8249
1989,115,6-May-89,Sunday Silence,2,5,125,1.25,36
1990,116,5-May-90,Unbridled,2,2,122,1.25,36.8852
1991,117,4-May-91,Strike the Gold,2,3,123,1.25,36.5854
1992,118,2-May-92,Lil E. Tee,2,3,123,1.25,36.5854
1993,119,1-May-93,Sea Hero,2,2.4,122.4,1.25,36.7647
1994,120,7-May-94,Go for Gin,2,3.6,123.6,1.25,36.4078
1995,121,6-May-95,Thunder Gulch,2,1.2,121.2,1.25,37.1287
1996,122,4-May-96,Grindstone,2,1,121,1.25,37.1901
1997,123,3-May-97,Silver Charm,2,2.4,122.4,1.25,36.7647
1998,124,2-May-98,Real Quiet,2,4.2,124.2,1.25,36.2319
1999,125,1-May-99,Charismatic,2,3.2,123.2,1.25,36.526
2000,126,6-May-00,Fusaichi Pegasus,2,1,121,1.25,37.1901
2001,127,5-May-01,Monarchos,1,59.97,119.97,1.25,37.5094
2002,128,4-May-02,War Emblem,2,1.1,121.1,1.25,37.1594
2003,129,3-May-03,Funny Cide,2,1.19,121.19,1.25,37.1318
2004,130,1-May-04,Smarty Jones,2,4.06,124.06,1.25,36.2728
2005,131,7-May-05,Giacomo,2,2.75,122.75,1.25,36.6599
2006,132,6-May-06,Barbaro,2,1.36,121.36,1.25,37.0798
2007,133,5-May-07,Street Sense,2,2.17,122.17,1.25,36.8339
2008,134,2-May-08,Big Brown,2,1.82,121.82,1.25,36.9397
2009,135,2-May-09,Mine That Bird,2,2.66,122.66,1.25,36.6868
2010,136,1-May-10,Super Saver,2,4.04,124.04,1.25,36.2786
2011,137,7-May-11,Animal Kingdom,2,2.04,122.04,1.25,36.8732
2012,138,5-May-12,I'll Have Another,2,1.83,121.83,1.25,36.9367
2013,139,4-May-13,Orb,2,2.89,122.89,1.25,36.6181
2014,140,2-May-14,California Chrome2,2,3.66,123.66,1.25,36.3901
2015,141,2-May-15,American Pharoah,2,3.03,123.03,1.25,36.5764
2016,142,7-May-16,Nyquist,2,1.31,121.31,1.25,37.095
2017,143,6-May-17,Always Dreaming,2,3.59,120.59,1.25,36.4107
2018,144,5-May-18,Justify,2,4.2,120.07,1.25,37.4781
