id,age,gender,neighborhood,prior_arrests,detained,charge_level
1,19,Female,North,0,No,1
2,22,Male,West,1,No,1
3,31,Male,North,2,Yes,2
4,45,Female,South,0,No,1
5,27,Male,West,3,Yes,3
6,36,Female,South,1,No,2
7,18,Other,North,0,No,1
8,52,Male,West,4,Yes,3
9,24,Female,South,0,No,1
10,29,Male,North,2,Yes,2
11,41,Male,West,5,Yes,3
12,33,Female,South,1,No,2
13,21,Female,North,0,No,1
14,26,Male,West,2,Yes,2
15,38,Male,South,3,Yes,3
16,47,Female,North,0,No,1
17,20,Male,West,1,No,1
18,25,Other,South,0,No,2
19,34,Male,North,4,Yes,3
20,43,Female,West,2,Yes,2
21,28,Female,South,1,No,1
22,32,Male,North,3,Yes,3
23,23,Male,West,0,No,1
24,39,Female,South,2,No,2
25,55,Male,North,5,Yes,3
26,30,Female,West,1,No,2
27,19,Other,South,0,No,1
28,44,Female,North,3,Yes,3
29,37,Male,West,2,Yes,2
30,26,Female,South,1,No,1
