Unnamed: 0,id,gender,offense_type,num_prior_arrests,time_served_months
1,59407,Female,Property,3,3.7
2,38998,Female,Property,0,17.9
3,27710,Male,Drug,6,57.1
4,83170,Female,Violent,2,26.4
5,57504,Male,Property,4,86.3
6,17788,Male,Public Order,1,9.5
7,22446,Male,Drug,4,23.3
8,84555,Male,Property,5,15.2
9,14297,Male,Public Order,2,29.2
10,35947,Male,Property,6,36.5
11,57533,Male,Property,3,16.7
12,75504,Male,Violent,4,23.2
13,82883,Female,Property,1,82.4
14,78702,Male,Drug,2,64.0
15,10755,Male,Drug,2,78.2
16,23156,Female,Drug,3,21.6
17,38675,Female,Property,0,58.1
18,74749,Male,Property,3,36.8
19,90649,Male,Drug,6,11.2
20,24599,Male,Drug,3,71.4
21,37524,Female,Violent,4,33.1
22,34933,Male,Public Order,1,22.1
23,88081,Female,Violent,1,16.9
24,10886,Female,Property,1,49.5
25,38359,Male,Violent,2,65.3
26,10913,Male,Violent,3,28.4
27,24404,Male,Property,4,83.1
28,55532,Female,Public Order,0,9.7
29,91920,Male,Drug,9,52.5
30,90733,Female,Property,4,13.4
31,46233,Male,Public Order,9,34.5
32,93711,Female,Property,1,13.9
33,73966,Male,Violent,1,13.5
34,15798,Male,Violent,2,29.4
35,30873,Male,Drug,3,26.0
36,94188,Female,Property,2,8.1
37,30473,Male,Property,7,57.9
38,24477,Male,Drug,5,67.5
39,20942,Female,Drug,2,64.7
40,11788,Male,Property,1,58.8
41,33505,Male,Violent,7,43.9
42,42637,Male,Public Order,3,60.8
43,15482,Male,Drug,3,42.9
44,82382,Female,Property,2,44.8
45,51124,Male,Drug,5,30.2
46,32848,Female,Violent,1,18.6
47,68126,Female,Violent,2,3.6
48,48853,Male,Property,6,34.8
49,14960,Female,Drug,8,68.5
50,87223,Male,Drug,0,36.1
51,94795,Male,Public Order,6,64.8
52,83716,Male,Property,2,69.1
53,13003,Male,Violent,2,17.4
54,18389,Female,Property,3,38.0
55,40773,Male,Property,3,46.1
56,57867,Male,Property,6,3.9
57,74789,Male,Public Order,5,39.5
58,98177,Male,Property,4,72.3
59,25016,Male,Public Order,1,65.5
60,77100,Male,Violent,3,81.0
61,60107,Male,Violent,1,12.0
62,87783,Female,Property,4,43.2
63,43036,Female,Property,0,51.2
64,68459,Male,Property,1,17.6
65,92411,Female,Property,1,5.8
66,62242,Male,Drug,5,77.2
67,64334,Male,Violent,7,80.9
68,71594,Female,Property,1,26.7
69,82069,Male,Drug,3,7.6
70,57331,Male,Violent,4,79.3
71,35081,Male,Violent,4,10.8
72,68011,Male,Property,1,32.8
73,61395,Male,Public Order,4,57.2
74,12436,Male,Property,8,12.4
75,36218,Male,Property,3,41.2
76,28770,Male,Violent,5,4.1
77,53024,Male,Property,7,75.5
78,51512,Male,Property,1,60.3
79,28670,Male,Violent,2,13.0
80,31555,Male,Drug,2,32.4
81,12314,Male,Property,3,27.4
82,49112,Male,Public Order,8,71.2
83,80994,Male,Violent,3,46.8
84,67333,Male,Violent,5,22.5
85,65240,Female,Property,3,47.1
86,52774,Male,Drug,1,51.5
87,87840,Male,Public Order,7,39.0
88,81111,Male,Public Order,4,64.3
89,50331,Male,Drug,5,7.8
90,14175,Male,Violent,1,35.0
91,67246,Male,Drug,7,42.1
92,71972,Male,Violent,1,86.6
93,82731,Male,Drug,5,52.9
94,30569,Female,Public Order,2,45.6
95,61113,Female,Violent,1,76.1
96,88456,Male,Drug,4,70.4
97,39277,Male,Drug,4,6.3
98,49403,Male,Drug,1,24.3
99,63041,Male,Property,7,47.6
100,10351,Male,Drug,4,15.1
101,75919,Male,Drug,1,85.4
102,61259,Male,Property,5,74.8
103,34162,Male,Violent,4,69.9
104,50817,Male,Drug,1,54.4
105,42762,Female,Drug,2,82.2
106,71327,Female,Drug,2,52.2
107,11190,Male,Violent,6,63.8
108,32659,Male,Property,3,37.8
109,69554,Male,Drug,5,59.6
110,49395,Male,Drug,6,27.0
111,92242,Male,Drug,4,24.0
112,40932,Female,Drug,1,74.5
113,27831,Female,Violent,4,20.5
114,50196,Male,Drug,5,57.4
115,14587,Male,Violent,1,84.2
116,99670,Male,Public Order,2,72.8
117,12303,Male,Property,6,14.4
118,31770,Male,Property,6,54.5
119,43441,Male,Drug,1,76.8
120,78812,Female,Drug,4,49.1
121,49149,Male,Drug,5,54.0
122,55173,Male,Drug,7,31.4
123,40535,Male,Property,4,80.4
124,39443,Male,Violent,3,53.5
125,75838,Male,Property,6,37.2
126,66986,Male,Violent,6,56.7
127,67776,Female,Property,2,24.5
128,67765,Female,Drug,3,82.9
129,42816,Male,Violent,1,65.2
130,89172,Male,Drug,4,24.2
131,30695,Female,Drug,0,80.2
132,96159,Male,Property,5,57.7
133,61050,Male,Property,5,40.4
134,41565,Female,Property,0,33.6
135,60877,Female,Drug,2,78.8
136,11002,Male,Violent,4,12.9
137,90925,Female,Property,1,18.1
138,94908,Male,Drug,1,63.1
139,80211,Female,Public Order,1,81.5
140,47983,Male,Violent,4,14.2
141,97508,Male,Drug,3,26.5
142,66784,Male,Property,7,28.9
143,24631,Male,Drug,4,66.0
144,68084,Female,Violent,3,60.6
145,63546,Male,Drug,2,29.9
146,34225,Female,Violent,1,2.6
147,19007,Male,Drug,1,61.6
148,98319,Female,Drug,1,39.4
149,84883,Male,Public Order,3,84.9
150,91625,Male,Public Order,2,74.3
151,61416,Male,Property,6,84.4
152,35680,Male,Public Order,0,55.4
153,49459,Female,Public Order,5,30.7
154,74934,Male,Violent,6,7.3
155,58186,Male,Drug,4,10.5
156,46572,Female,Drug,4,85.3
157,64046,Male,Property,4,10.2
158,27954,Male,Property,4,10.3
159,67136,Male,Drug,6,71.1
160,46090,Male,Drug,2,6.6
161,50268,Female,Violent,2,38.7
162,51193,Male,Public Order,4,61.8
163,15391,Male,Drug,3,25.5
164,55029,Male,Violent,4,73.6
165,19562,Male,Property,1,51.3
166,42709,Male,Violent,3,71.8
167,34789,Male,Drug,2,55.7
168,80404,Male,Drug,3,77.5
169,38649,Male,Violent,5,29.6
170,12472,Male,Property,3,4.9
171,86084,Male,Drug,1,75.6
172,62817,Male,Violent,5,43.1
173,28936,Male,Property,6,54.2
174,53800,Male,Drug,6,44.6
175,92421,Male,Property,1,80.7
176,60035,Male,Property,0,81.4
177,93097,Female,Property,2,48.5
178,41071,Male,Property,8,12.5
179,60813,Female,Property,2,30.6
180,20173,Female,Drug,6,85.1
181,26020,Female,Drug,2,56.6
182,23938,Female,Public Order,0,53.0
183,99104,Male,Violent,4,83.4
184,78445,Male,Public Order,3,15.7
185,67538,Male,Drug,5,84.6
186,45543,Male,Violent,6,59.4
187,52458,Female,Property,2,78.3
188,96614,Female,Property,2,55.2
189,22333,Male,Violent,3,18.8
190,40091,Male,Drug,7,72.9
191,23447,Male,Violent,4,5.9
192,19045,Female,Property,3,27.9
193,91996,Male,Public Order,3,23.5
194,20846,Male,Violent,2,69.2
195,85795,Male,Property,7,28.2
196,68551,Male,Violent,5,62.5
197,19470,Male,Drug,0,33.4
198,43713,Male,Public Order,2,80.5
199,13648,Male,Public Order,6,71.6
200,90074,Male,Drug,4,22.0
201,27520,Female,Violent,1,2.9
202,22529,Male,Drug,3,42.4
203,25885,Female,Property,2,79.9
204,75767,Male,Violent,2,66.7
205,22892,Male,Violent,6,35.1
